epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2653.65,0.6919,0.32444,0.77405,0.92454,0.78508,0.85594,0.60727,0.73121,0.36014,0.78099,0.000161,0.000161,0.000161
90,2683.38,0.68952,0.32586,0.77393,0.91585,0.77985,0.85435,0.59965,0.73008,0.36889,0.78061,0.000148625,0.000148625,0.000148625
91,2714.3,0.65862,0.32179,0.77324,0.86387,0.76633,0.82182,0.58576,0.73009,0.37143,0.78011,0.00013625,0.00013625,0.00013625
92,2743.3,0.64581,0.31851,0.77544,0.89007,0.77851,0.83416,0.59637,0.73363,0.3621,0.78046,0.000123875,0.000123875,0.000123875
93,2772.27,0.65351,0.31908,0.77496,0.86237,0.75413,0.83106,0.58527,0.74127,0.37112,0.7806,0.0001115,0.0001115,0.0001115
94,2801.78,0.64456,0.31443,0.77417,0.88189,0.77285,0.83895,0.59407,0.75185,0.36917,0.78056,9.9125e-05,9.9125e-05,9.9125e-05
95,2831.2,0.64407,0.31391,0.77376,0.93447,0.77107,0.83479,0.58739,0.74043,0.36033,0.7808,8.675e-05,8.675e-05,8.675e-05
96,2860.12,0.63442,0.30872,0.77543,0.92268,0.78453,0.84841,0.59737,0.74063,0.36188,0.78063,7.4375e-05,7.4375e-05,7.4375e-05
97,2889.07,0.63906,0.31025,0.77375,0.90639,0.77593,0.83902,0.59743,0.73183,0.36322,0.77972,6.2e-05,6.2e-05,6.2e-05
98,2918.58,0.62099,0.3038,0.77138,0.90834,0.78384,0.84967,0.59528,0.7222,0.35719,0.7795,4.9625e-05,4.9625e-05,4.9625e-05
99,2947.92,0.62015,0.30215,0.77494,0.91729,0.76174,0.83681,0.59384,0.7243,0.3598,0.77933,3.725e-05,3.725e-05,3.725e-05
100,2976.74,0.61202,0.29932,0.77269,0.89735,0.77496,0.83687,0.59447,0.72308,0.35701,0.77922,2.4875e-05,2.4875e-05,2.4875e-05
